total_claim_amount,incident_severity,age,comments
59400,0,48,This is a sample comment.
55260,2,34,Another example of text data.
51400,1,44,
48780,1,37,Validating text fields with GPT-4.
52380,0,31,Check language consistency.
74360,2,34,This is a sample comment.
53400,1,40,Another example of text data.
71800,2,59,
68240,0,31,Validating text fields with GPT-4.
61050,0,45,Check language consistency.
5590,1,47,This is a sample comment.
46860,0,48,Another example of text data.
4290,1,31,
78500,1,57,Validating text fields with GPT-4.
70830,2,42,Check language consistency.
68040,2,56,This is a sample comment.
63600,0,32,Another example of text data.
43560,1,63,
60840,2,31,Validating text fields with GPT-4.
68160,2,55,Check language consistency.
5170,1,27,This is a sample comment.
57700,2,37,Another example of text data.
89520,2,46,
4620,1,43,Validating text fields with GPT-4.
45180,1,39,Check language consistency.
45100,2,38,This is a sample comment.
83160,2,32,Another example of text data.
86130,1,42,
48000,0,25,Validating text fields with GPT-4.
3300,1,35,Check language consistency.
57200,1,34,This is a sample comment.
7590,3,35,Another example of text data.
80080,2,37,
4800,1,30,Validating text fields with GPT-4.
3900,1,37,Check language consistency.
90400,1,26,This is a sample comment.
62900,1,29,Another example of text data.
54200,0,32,
51800,0,50,Validating text fields with GPT-4.
6600,3,55,Check language consistency.
74140,2,35,This is a sample comment.
67800,2,25,Another example of text data.
55400,0,44,
49100,0,37,Validating text fields with GPT-4.
98280,0,41,Check language consistency.
66550,2,40,This is a sample comment.
70400,0,33,Another example of text data.
53280,0,42,
84590,2,32,Validating text fields with GPT-4.
54560,2,37,Check language consistency.
82170,1,40,This is a sample comment.
61100,2,44,Another example of text data.
51900,1,43,
3440,3,39,Validating text fields with GPT-4.
51390,2,36,Check language consistency.
76900,0,32,This is a sample comment.
77000,1,42,Another example of text data.
60320,0,39,
60700,1,46,Validating text fields with GPT-4.
53280,2,21,Check language consistency.
34290,1,43,This is a sample comment.
46980,2,44,Another example of text data.
36700,0,26,
60200,2,28,Validating text fields with GPT-4.
6480,1,30,Check language consistency.
87200,1,38,This is a sample comment.
108480,0,41,Another example of text data.
67500,1,34,
46980,0,62,Validating text fields with GPT-4.
5060,1,60,Check language consistency.
